ids	maltype	system calls frequency_1gram-scaled
delay_133_2021-11-23	delay	[-1.12918327308965, 25.0, 5.0, -0.5798758734633248, 10.0, -1.1960900569346815, -1.1960269032878674, -1.1292780796497657, 0.0, 10.0, 0.0, 30.0, -1.1328958068004156, 10.0, -1.1293450024719767, 5.0, 12.953527350398398]
delay_134_2021-11-23	delay	[0.8288591203211657, 25.0, 5.0, -0.4043810134399967, 10.0, 0.811870205556249, 0.8120478447589448, 0.8291908611194452, 0.0, 10.0, 0.0, 30.0, 0.8532315033342406, 10.0, 0.8291207096928507, 5.0, 14.979901160303493]
delay_135_2021-11-23	delay	[-1.3321952920971751, 25.0, 5.0, -0.4043810134399967, 10.0, -1.3946795334447735, -1.3946277025452443, -1.3320057734314799, 0.0, 10.0, 0.0, 30.0, -1.3368471412514544, 10.0, -1.3322660903024395, 5.0, 12.754211893686422]
delay_136_2021-11-23	delay	[0.17717347947347972, 25.0, 5.0, -0.5798758734633248, 10.0, 1.0545906768463615, 1.0547821549624055, 0.17722087256198288, 0.0, 10.0, 0.0, 30.0, 0.19716719026372104, 10.0, 0.17644665342503427, 5.0, 15.267801264443015]
delay_137_2021-11-23	delay	[-0.37300615187044367, 25.0, 5.0, -0.5798758734633248, 10.0, -0.4458631456743338, -0.44575721720444306, -0.3731009385383086, 0.0, 10.0, 0.0, 30.0, -0.37881807124320044, 10.0, -0.3731035713223831, 5.0, 13.706496853532531]
delay_138_2021-11-23	delay	[1.0856096149483299, 25.0, 5.0, -0.5798758734633248, 10.0, 1.010459682066341, 1.0106486440163218, 1.0853727013681471, 0.0, 10.0, 0.0, 30.0, 1.0747001303148165, 10.0, 1.0850452292079917, 5.0, 15.168143536087028]
delay_139_2021-11-23	delay	[-0.5201472160670744, 25.0, 5.0, -0.5798758734633248, 10.0, -0.6003216274044054, -0.6002245055157363, -0.519957676039368, 0.0, 10.0, 0.0, 30.0, -0.5252125873829032, 10.0, -0.5201381956192103, 5.0, 13.551473720534329]
delay_13_2021-11-23	delay	[1.0758002106685547, 25.0, 5.0, -0.4628793001144394, 10.0, 0.9883941846763308, 0.9885818885432798, 1.0755632968303224, 0.0, 10.0, 0.0, 30.0, 1.0972223635670784, 10.0, 1.0757308186190526, 5.0, 15.168143536087028]
delay_140_2021-11-23	delay	[1.1448925364652334, 25.0, 5.0, -0.4628793001144394, 10.0, 1.0766561742363716, 1.0768489104354473, 1.1446556244445671, 0.0, 10.0, 0.0, 30.0, 1.1351764973810754, 10.0, 1.144480039632652, 5.0, 15.234582021657687]
delay_141_2021-11-23	delay	[1.1052284235078806, 25.0, 5.0, -0.17038786674222595, 10.0, 1.0325251794563512, 1.0327153994893636, 1.1052758410101107, 0.0, 10.0, 0.0, 30.0, 1.116407969670857, 10.0, 1.1052264521506936, 5.0, 15.234582021657687]
