ids	maltype	system calls frequency_1gram-scaled
delay_133_2021-11-30	delay	[0.0, 25.0, 5.0, -0.3491941069808796, 10.0, -0.8869972855932583, 0.0, -0.8837986953653234, 0.0, 10.0, 0.0, 30.0, -0.8201950112814402, 10.0, -0.8793412156812117, 5.0, 13.671679079798656]
delay_134_2021-11-30	delay	[0.0, 25.0, 5.0, -0.44862564930763854, 10.0, -0.3434633070120427, 0.0, -0.35453223200706363, 0.0, 10.0, 0.0, 30.0, -0.32059636052031365, 10.0, -0.35216446572457627, 5.0, 14.247830818282148]
delay_135_2021-11-30	delay	[0.0, 25.0, 5.0, -0.2497625646541207, 10.0, 0.5624266572899833, 0.0, 0.5671817509380184, 0.0, 10.0, 0.0, 30.0, 0.5638782878641995, 10.0, 0.5673251844479746, 5.0, 14.857873835499964]
delay_136_2021-11-30	delay	[0.0, 25.0, 5.0, -1.144646445594951, 10.0, 0.03902356680436829, 0.0, 0.023922441057679746, 0.0, 10.0, 0.0, 30.0, 0.028382548863199283, 10.0, 0.027467206829152085, 5.0, 14.48506976942241]
delay_137_2021-11-30	delay	[0.0, 50.0, 10.0, -0.29947833581750016, 20.0, 0.44164132871637984, 0.0, 0.424402891055325, 0.0, 20.0, 0.0, 60.0, 0.4162191310836887, 20.0, 0.42320202562057835, 10.0, 29.19388474011864]
delay_138_2021-11-30	delay	[0.0, 0.0, 0.0, -1.0949306744315714, 0.0, -1.470793040365675, 0.0, -1.473441700198479, 0.0, 0.0, 0.0, 0.0, -1.445988580494081, 0.0, -1.4685150786529841, 0.0, -1.6810701868497118]
delay_139_2021-11-30	delay	[0.0, 50.0, 10.0, -0.6972045051245358, 20.0, 1.528709285878811, 0.0, 1.5271169350313711, 0.0, 20.0, 0.0, 60.0, 1.527918647295855, 20.0, 1.5278778575266554, 10.0, 30.549535889491565]
delay_13_2021-11-30	delay	[0.0, 25.0, 5.0, 0.14796360465291497, 10.0, -0.7863428451152554, 0.0, -0.7807957973555764, 0.0, 10.0, 0.0, 30.0, -0.7776366076980851, 10.0, -0.7805081556473408, 5.0, 13.445737221569834]
delay_140_2021-11-30	delay	[0.0, 25.0, 5.0, -1.4429410725752279, 10.0, -1.4305312641744738, 0.0, -1.448176838422503, 0.0, 10.0, 0.0, 30.0, -1.4526498958375629, 10.0, -1.4465745419041207, 5.0, 13.129418620049485]
delay_141_2021-11-30	delay	[0.0, 25.0, 5.0, 0.694837087450089, 10.0, 0.481903104907581, 0.0, 0.4878889539795716, 0.0, 10.0, 0.0, 30.0, 0.48061184607067836, 10.0, 0.4851991386357153, 5.0, 15.174192437020313]
delay_142_2021-11-30	delay	[0.0, 25.0, 5.0, 1.2914263414106426, 10.0, 1.48844750968761, 0.0, 1.4850088320714117, 0.0, 10.0, 0.0, 30.0, 1.4583449092639351, 10.0, 1.4858083879806694, 5.0, 15.434025573983456]
delay_143_2021-11-30	delay	[0.0, 25.0, 5.0, -0.0011837088372234046, 10.0, -0.021369097482433444, 0.0, -0.010023168097733732, 0.0, 10.0, 0.0, 30.0, -0.040451043019444834, 10.0, -0.01882933860422942, 5.0, 15.287163366134724]
