ids	maltype	system calls tfidf_1gram-scaled
delay_118_2021-11-30	delay	[0.0, 0.0004850463982392867, 0.00021215075665902478, -1.4229074825405374, 0.00042430151331804955, -0.3954325343748497, 0.0, 1.426824299313729, 0.0, 0.0002175825010779536, 0.0, 0.0005819677037633026, -2.1247280811576292, 0.0001577307377658514, -1.9991538028941627, 0.00021215075665902478, 40.378345123342676]
delay_119_2021-11-30	delay	[0.0, 0.0003811712956773279, 0.00016671761523884705, 0.1827771785751528, 0.0003334352304776941, -0.34529033609283033, 0.0, -1.427861728095219, 0.0, 0.00017098612453087935, 0.0, 0.0004573364207858377, 0.9202193185925048, 0.00012395191449847726, -0.42989218125032636, 0.00016671761523884705, 30.058227971299768]
delay_11_2021-11-30	delay	[0.0, 0.0004944191444269364, 0.00021625023085963916, 0.18385727652704048, 0.0004325004617192783, -0.9661637351526287, 0.0, -0.0019463384312962276, 0.0, 0.0002217869350555699, 0.0, 0.0005932132992291859, -0.42755737642094027, 0.0001607786321042828, -3.041111115522106, 0.00021625023085963916, 40.0493940568075]
delay_120_2021-11-30	delay	[0.0, 0.00042371244055399446, 0.00018532436318602726, 0.32103868852353257, 0.0003706487263720545, -0.9644536980906591, 0.0, 0.3513604092273728, 0.0, 0.00019006926530789494, 9.08341440199212e-05, 0.000508378078840006, -1.0072793203689792, 0.00013778573780106847, -0.7102419828333506, 0.00018532436318602726, 33.95970866069052]
delay_121_2021-11-30	delay	[0.0, 0.0004257594202963049, 0.00018621967609376816, -0.1120203875005385, 0.0003724393521875363, -0.6579064725494366, 0.0, -0.4104025292278451, 0.0, 0.00019098750111709703, 0.0, 0.0005108340832647512, -0.16835808795077484, 0.00013845138881119534, -0.866231993246903, 0.00018621967609376816, 33.52715958522425]
delay_122_2021-11-30	delay	[0.0, 0.00039432065954909744, 0.00017246891553734868, -0.11575413804219759, 0.00034493783107469736, -0.18488964228422983, 0.0, -0.5578962326342145, 0.0, 0.0001768846766883417, 0.0, 0.00047311327249771585, -0.045304526752014865, 0.0001282279154587455, -0.35166980774414375, 0.00017246891553734868, 31.584468990781197]
delay_123_2021-11-30	delay	[0.0, 0.00036775534041766974, 0.00016084971255990376, -0.26003252146103195, 0.0003216994251198075, -0.02197447310316044, 0.0, -1.6051833274620353, 0.0, 0.0001649679845955194, 0.0, 0.0004412397077608649, 1.116020356922053, 0.00011958922150947458, -0.34687938454909983, 0.00016084971255990376, 29.159147474911823]
delay_124_2021-11-30	delay	[0.0, 0.0004454957977045105, 0.00019485202016653722, -0.9705884586966291, 0.00038970404033307444, -0.13488898577829916, 0.0, -0.4901890735804207, 0.0, 0.000199840861072524, 0.0, 0.0005345141565166156, 0.3815644922861989, 0.00014486940032663352, -4.09636631818828, 0.00019485202016653722, 36.671286178736445]
delay_125_2021-11-30	delay	[0.0, 0.00039199879070142454, 0.00017145337097360198, 2.419787051487475, 0.00034290674194720395, -0.1085887540550644, 0.0, -1.3766848615048797, 0.0, 0.0001758431309045043, 0.0, 0.000470327451003886, 0.8024536886894391, 0.00012747287411080764, -0.21168482923185453, 0.00017145337097360198, 30.897105253069558]
delay_126_2021-11-30	delay	[0.0, 0.0007916167549713557, 0.00034623923435111146, -0.26446954092077357, 0.0006924784687022229, -0.35916840631739827, 0.0, -1.4500512584281593, 0.0, 0.00035510407677928873, 0.0, 0.0009497965283806997, -0.15633021843138442, 0.0002574234037046558, -1.365933409521908, 0.00034623923435111146, 63.350146921403244]
