ids	maltype	system calls hashing_1gram
delay_120_2021-11-30	delay	[0.0, 0.8098843493671304, 0.00011209782268950426, 0.0, 0.0, 0.0, 0.0003923423794132649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011209782268950426, 0.0, 0.0, -0.025356527492365864, 0.0, -0.27285731020852233, -0.5185421081971088, 0.0, -0.00033629346806851276, -0.010346629034241243, 0.0, 0.0, 0.0, 0.0, -0.00011209782268950426]
delay_121_2021-11-30	delay	[0.0, 0.8095264354477264, 0.00011263603337197567, 0.0, 0.0, 0.0, 0.0003942261168019149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011263603337197567, 0.0, 0.0, -0.025174153458636564, 0.0, -0.27397588757399366, -0.51851997962789, 0.0, -0.00033790810011592704, -0.010351251466884565, 0.0, 0.0, 0.0, 0.0, -0.00011263603337197567]
delay_122_2021-11-30	delay	[0.0, 0.8094616300392583, 0.00010431878729805508, 0.0, 0.0, 0.0, 0.00036511575554319274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010431878729805508, 0.0, 0.0, -0.02435843683409586, 0.0, -0.27412890926182915, -0.5185791235373616, 0.0, -0.0003129563618941652, -0.010358855578696868, 0.0, 0.0, 0.0, 0.0, -0.00010431878729805508]
delay_123_2021-11-30	delay	[0.0, 0.8089963364724025, 9.729009614474554e-05, 0.0, 0.0, 0.0, 0.00034051533650660936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.729009614474554e-05, 0.0, 0.0, -0.023339894065124454, 0.0, -0.2755936553492207, -0.5185756704707227, 0.0, -0.00029187028843423663, -0.0103613952394154, 0.0, 0.0, 0.0, 0.0, -9.729009614474554e-05]
delay_124_2021-11-30	delay	[0.0, 0.8094526665609367, 0.0001178517073206186, 0.0, 0.0, 0.0, 0.0004124809756221651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001178517073206186, 0.0, 0.0, -0.02649306380567506, 0.0, -0.2748183963009505, -0.5181232460643675, 0.0, -0.0003535551219618558, -0.010359165073482375, 0.0, 0.0, 0.0, 0.0, -0.0001178517073206186]
delay_125_2021-11-30	delay	[0.0, 0.8092184152073756, 0.0001037193559609556, 0.0, 0.0, 0.0, 0.0003630177458633446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001037193559609556, 0.0, 0.0, -0.024073262518537794, 0.0, -0.2747007142625909, -0.5186693833539506, 0.0, -0.00031115806788286677, -0.010361563660499465, 0.0, 0.0, 0.0, 0.0, -0.0001037193559609556]
delay_126_2021-11-30	delay	[0.0, 0.8090642346568514, 0.000209423092862799, 0.0, 0.0, 0.0, 0.0007329808250197964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000209423092862799, 0.0, 0.0, -0.03769615671530382, 0.0, -0.2740196458563293, -0.5184582798457883, 0.0, -0.000628269278588397, -0.01035597194206541, 0.0, 0.0, 0.0, 0.0, -0.000209423092862799]
delay_127_2021-11-30	delay	[0.0, 0.8093342858098159, 0.00011613348913901793, 0.0, 0.0, 0.0, 0.0004064672119865627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011613348913901793, 0.0, 0.0, -0.025816474635603683, 0.0, -0.27456279502246617, -0.5184779622611455, 0.0, -0.00034840046741705375, -0.010347493882286497, 0.0, 0.0, 0.0, 0.0, -0.00011613348913901793]
delay_128_2021-11-30	delay	[0.0, 0.8094298287345673, 0.00012158530165901601, 0.0, 0.0, 0.0, 0.00042554855580655604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012158530165901601, 0.0, 0.0, -0.026724449304651718, 0.0, -0.27456392820639, -0.5182816653818876, 0.0, -0.000364755904977048, -0.010371226231514066, 0.0, 0.0, 0.0, 0.0, -0.00012158530165901601]
delay_129_2021-11-30	delay	[0.0, 0.8094382831529677, 0.00010498959533483375, 0.0, 0.0, 0.0, 0.0003674635836719181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010498959533483375, 0.0, 0.0, -0.02413710796747828, 0.0, -0.274085837581117, -0.5186486009540787, 0.0, -0.00031496878600450123, -0.010362473059548091, 0.0, 0.0, 0.0, 0.0, -0.00010498959533483375]
