ids	maltype	system calls hashing_1gram
normal_123_2021-12-11	normal	[0.0, 0.7808926524741028, 0.0, 0.01999278269083344, 0.2602975508247009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010067056428337011, 0.0, -0.26700529792651945, -0.5005588327536944, 0.0, 0.0, -0.009990955569807466, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_124_2021-12-11	normal	[0.0, 0.7811238500000091, 0.0, 0.01998056971665611, 0.2603706966019813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010007925149425749, 0.0, -0.26596854897698324, -0.5007137827110459, 0.0, 0.0, -0.009984404761295489, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_125_2021-12-11	normal	[0.0, 0.7808954371004542, 0.0, 0.02001569352890546, 0.26029847903348474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010044582436896972, 0.0, -0.2669528836990988, -0.500581264538064, 0.0, 0.0, -0.010002598811246408, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_126_2021-12-11	normal	[0.0, 0.7813469530029109, 0.0, 0.02012015284034287, 0.26044260609596465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010064860098925679, 0.0, -0.26494883148246084, -0.5008607329266713, 0.0, 0.0, -0.010055292741417194, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_127_2021-12-11	normal	[0.0, 0.781236981336931, 0.0, 0.020036968465348012, 0.26041591989847945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0104334510352108, 0.0, -0.2654170782459359, -0.5007948713316109, 0.0, 0.0, -0.010013095053420282, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_128_2021-12-11	normal	[0.0, 0.7812453525126821, 0.0, 0.02002163887549362, 0.2604117722011571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010015837392352196, 0.0, -0.2654196908973332, -0.5007918696176098, 0.0, 0.0, -0.010005801483141423, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_129_2021-12-11	normal	[0.0, 0.7809315622756686, 0.0, 0.02000016122853289, 0.26030713147517565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010035668089762055, 0.0, -0.26685522696636793, -0.500573430321252, 0.0, 0.0, -0.009994996689195644, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_12_2021-12-11	normal	[0.0, 0.7812601447755032, 0.0, 0.019982014744239218, 0.26041610936342036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009996915714740614, 0.0, -0.2653554837945806, -0.5008029372416335, 0.0, 0.0, -0.009985099029498604, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_130_2021-12-11	normal	[0.0, 0.7807611812341737, 0.0, 0.02003512171455509, 0.26025689669073226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010222000874773006, 0.0, -0.2675691931304536, -0.5004786716669094, 0.0, 0.0, -0.010012806438266023, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_131_2021-12-11	normal	[0.0, 0.7812402939865308, 0.0, 0.020018483923673856, 0.26041689413526525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010035213009999452, 0.0, -0.265424112221, -0.5007945275083266, 0.0, 0.0, -0.010004047752204422, 0.0, 0.0, 0.0, 0.0, 0.0]
