ids	maltype	system calls tfidf_1gram-scaled
normal_131_2021-12-11	normal	[-1.9716566452105229, 0.0, 0.0, -0.585071865049489, 0.0, -0.32984691631820373, -0.3314971610378466, -2.0299842535409924, 0.0, 0.0, 0.0, 0.0, 2.099593413568913, 0.0, -1.9000116821665518, 0.0, -0.330955011944877]
normal_132_2021-12-11	normal	[0.7655858627400338, 0.0, 0.0, 0.45103359993384695, 0.0, -0.3325916161057204, -0.32972112830531675, 0.6653476902382306, 0.0, 0.0, 0.0, 0.0, -0.5689869097092968, 0.0, 0.531112522549266, 0.0, -0.4050266948198272]
normal_133_2021-12-11	normal	[1.001046241138851, 0.0, 0.0, 3.782438915852104, 0.0, -0.3167347416993107, -0.3172179487507448, 0.7611016546662118, 0.0, 0.0, 0.0, 0.0, -0.724415436412277, 0.0, 0.7481040169420874, 0.0, -0.35348978890550636]
normal_134_2021-12-11	normal	[-5.082309874340474, 0.0, 0.0, -0.585071865049489, 0.0, -0.27585484680092537, -0.2774818315639078, -5.160254165509388, 0.0, 0.0, 0.0, 0.0, 5.280121032035, 0.0, -5.090375756369745, 0.0, -0.31750929271861794]
normal_135_2021-12-11	normal	[0.4106520844586994, 0.0, 0.0, -0.585071865049489, 0.0, -0.3223571177183604, -0.31746745938417814, 0.7287648080310909, 0.0, 0.0, 0.0, 0.0, -0.6055765027747917, 0.0, 0.605462966326171, 0.0, -0.3908821307638177]
normal_136_2021-12-11	normal	[-2.1562332735239944, 0.0, 0.0, -0.585071865049489, 0.0, -0.2950363086909948, -0.2961067647811526, -2.226000240732389, 0.0, 0.0, 0.0, 0.0, 2.4174399381175498, 0.0, -2.558691010929074, 0.0, -0.2103939010875271]
normal_137_2021-12-11	normal	[-0.21675110342090567, 0.0, 0.0, 0.3830046488134239, 0.0, -0.3849091331064641, -0.38212103826260185, 0.2553672008388234, 0.0, 0.0, 0.0, 0.0, -0.10683326565577202, 0.0, 0.16510292076111527, 0.0, -0.45703762299530115]
normal_138_2021-12-11	normal	[-4.682741307615216, 0.0, 0.0, -0.585071865049489, 0.0, -0.277718386119494, -0.2793827541493821, -4.909091653629201, 0.0, 0.0, 0.0, 0.0, 4.952694122866853, 0.0, -4.645821050468647, 0.0, -0.1188542782735541]
normal_139_2021-12-11	normal	[0.6824468889329065, 0.0, 0.0, 0.20964196740219856, 0.0, -0.2980231376091716, -0.299659672542909, 0.6155262231058716, 0.0, 0.0, 0.0, 0.0, -0.5290866140669146, 0.0, 0.4909415699762299, 0.0, -0.25914856822880444]
normal_13_2021-12-11	normal	[0.4327444160290735, 0.0, 0.0, -0.37395827094369344, 0.0, -0.3080342848688157, -0.30974811253245577, 0.695855152804352, 0.0, 0.0, 0.0, 0.0, -0.5914736594942664, 0.0, 0.6145570976517046, 0.0, -0.34974528506869407]
normal_140_2021-12-11	normal	[-3.650516689748756, 0.0, 0.0, -0.21120395986212148, 0.0, -0.3435162970550232, -0.3449877984990725, -3.812893671666764, 0.0, 0.0, 0.0, 0.0, 3.8515538540545338, 0.0, -3.5016219343244988, 0.0, -0.30293038921174925]
normal_141_2021-12-11	normal	[-1.348512843219334, 0.0, 0.0, -0.585071865049489, 0.0, -0.2874677519006341, -0.28887749893644005, -1.3682203637925319, 0.0, 0.0, 0.0, 0.0, 1.342969671117647, 0.0, -1.0098829196564578, 0.0, 0.0781854591571129]
normal_142_2021-12-11	normal	[0.6838414030183801, 0.0, 0.0, 1.233082050840185, 0.0, -0.282296652626062, -0.27744784292504543, 0.3331869073821093, 0.0, 0.0, 0.0, 0.0, -0.4119151094964261, 0.0, 0.7253236090872776, 0.0, -0.35126243171666477]
normal_143_2021-12-11	normal	[-2.1459098793575304, 0.0, 0.0, -0.585071865049489, 0.0, -0.31532329686957333, -0.3147312204537911, -2.4071438618152614, 0.0, 0.0, 0.0, 0.0, 2.479281310171273, 0.0, -2.3534819115455496, 0.0, -0.1694256509345175]
normal_144_2021-12-11	normal	[-4.292767877693266, 0.0, 0.0, -0.4254759393012263, 0.0, -0.27642336560088265, -0.2779770342919766, -4.494949150630499, 0.0, 0.0, 0.0, 0.0, 4.473195383644035, 0.0, -3.9929149340469987, 0.0, -0.2774326293867309]
normal_145_2021-12-11	normal	[0.5012695814634053, 0.0, 0.0, -0.4791297767625491, 0.0, -0.30639247805657527, -0.3080326185290135, 0.5962045548793153, 0.0, 0.0, 0.0, 0.0, -0.5473400767129987, 0.0, 0.6640124834921013, 0.0, -0.3076492113966517]
normal_146_2021-12-11	normal	[0.7103663278580084, 0.0, 0.0, -0.585071865049489, 0.0, -0.23857052990323294, -0.2401447075939653, 0.6446330745689877, 0.0, 0.0, 0.0, 0.0, -0.49902242440952826, 0.0, 0.27946032600213716, 0.0, -0.32065936918903815]
